#Format version: 1.0
time[us],accX[g],accY[g],accZ[g],
655770163,-0.098,0.157,-1.49,
655808687,-0.077,0.107,-1.543,
655847212,-0.021,0.04,-1.32,
655885736,0.033,0.018,-0.997,
655924260,0.073,0.041,-0.722,
655962784,0.077,0.085,-0.549,
656001308,0.073,0.133,-0.595,
656039832,0.034,0.123,-0.7,
656078357,-0.003,0.136,-1.089,
656116881,-0.056,0.103,-1.414,
656155405,-0.06,0.058,-1.583,
656193929,-0.027,0.048,-1.401,
656232454,0.019,0.056,-1.075,
656270978,0.063,0.066,-0.792,
656309502,0.091,0.088,-0.598,
656348026,0.086,0.088,-0.466,
656386550,0.051,0.103,-0.622,
656425074,0.001,0.12,-1.052,
656463598,-0.058,0.141,-1.43,
656502122,-0.061,0.099,-1.623,
656540647,-0.027,0.074,-1.421,
656579171,0.022,0.081,-1.073,
656617695,0.069,0.065,-0.776,
656656219,0.103,0.032,-0.554,
656694744,0.091,0.042,-0.488,
656733268,0.034,0.03,-0.701,
656771792,-0.025,0.168,-1.146,
656810316,-0.047,0.162,-1.461,
656848840,-0.031,0.086,-1.572,
656887364,-0.004,0.06,-1.344,
656925888,0.049,0.035,-1.021,
656964413,0.088,0.051,-0.692,
657002937,0.116,0.065,-0.456,
657041462,0.072,0.073,-0.373,
657079986,0.005,0.101,-0.874,
657118509,-0.045,0.136,-1.476,
657157034,-0.078,0.075,-1.649,
657195558,-0.039,0.07,-1.506,
657234082,0.016,0.042,-1.118,
657272607,0.08,0.021,-0.714,
657311130,0.13,0.02,-0.47,
657349655,0.089,0.042,-0.382,
657388179,0.017,0.098,-0.834,
657426703,-0.051,0.152,-1.404,
657465227,-0.069,0.119,-1.655,
657503751,-0.052,0.155,-1.43,
657542275,0.02,0.094,-1.004,
657580800,0.117,-0.075,-0.671,
657619324,0.17,-0.232,-0.623,
657657848,0.152,-0.231,-0.799,
657696372,0.036,-0.176,-0.966,
657734897,-0.088,0.299,-1.26,
657773421,-0.167,0.57,-1.237,
657811945,-0.142,0.546,-1.208,
657850469,-0.086,0.413,-1.016,
657888993,0.031,-0.093,-0.905,
657927517,0.144,-0.443,-0.924,
657966042,0.141,-0.353,-0.908,
658004566,0.065,-0.142,-0.938,
658043090,-0.036,0.312,-1.051,
658081614,-0.116,0.555,-1.101,
658120139,-0.115,0.556,-1.155,
658158662,-0.071,0.331,-1.051,
658197187,0.05,-0.154,-0.991,
658235711,0.16,-0.419,-0.947,
658274235,0.151,-0.296,-0.842,
658312759,0.061,0.005,-0.912,
658351284,-0.043,0.338,-1.068,
658389808,-0.096,0.429,-1.199,
658428332,-0.076,0.424,-1.147,
658466856,-0.011,0.277,-1.025,
658505380,0.062,-0.051,-0.902,
658543904,0.136,-0.322,-0.851,
658582429,0.119,-0.17,-0.885,
658620953,0.024,0.122,-0.974,
658659477,-0.067,0.392,-1.098,
658698001,-0.106,0.475,-1.195,
658736525,-0.074,0.438,-1.157,
658775050,-0.006,0.2,-0.973,
658813574,0.077,-0.163,-0.836,
658852098,0.127,-0.197,-0.937,
658890622,0.094,0.046,-1.054,
658929146,0.053,0.013,-0.991,
