#Format version: 1.0
time[us],accX[g],accY[g],accZ[g],
888611621,-1.387,0.798,-1.447,
888650145,-1.625,0.841,-1.703,
888688670,-1.259,0.399,-0.984,
888727194,-0.625,0.035,-0.7,
888765718,0.053,0.033,-0.642,
888804242,0.803,-0.247,-0.732,
888842767,1.368,-0.774,-0.84,
888881291,1.083,-0.654,-0.872,
888919815,0.398,-0.17,-0.885,
888958339,-0.277,0.031,-1.046,
888996863,-0.903,0.143,-1.211,
889035387,-1.27,0.389,-1.367,
889073912,-1.302,0.342,-1.419,
889112435,-0.961,0.269,-0.993,
889150959,-0.395,0.035,-0.864,
889189483,0.234,0.034,-0.799,
889228008,0.911,-0.118,-0.85,
889266532,1.334,-0.509,-1.14,
889305056,1.07,-0.37,-0.969,
889343580,0.358,0.188,-0.895,
889382105,-0.322,0.282,-1.101,
889420628,-0.865,0.354,-1.117,
889459153,-1.148,0.424,-1.162,
889497677,-1.07,0.297,-1.019,
889536201,-0.703,0.238,-0.829,
889574725,-0.226,0.161,-0.793,
889613249,0.265,0.151,-0.855,
889651774,0.739,0.076,-1.002,
889690297,0.985,-0.108,-1.178,
889728822,0.769,-0.117,-1.156,
889767345,0.261,0.096,-1.01,
889805870,-0.334,0.235,-0.917,
889844394,-0.88,0.357,-1.119,
889882919,-1.125,0.414,-1.254,
889921443,-0.985,0.309,-1.013,
889959967,-0.606,0.228,-0.85,
889998490,-0.068,0.155,-0.776,
890037015,0.761,0.054,-0.864,
890075539,1.408,-0.495,-1.027,
890114063,1.266,-0.555,-1.129,
890152587,0.427,0.09,-0.868,
890191112,-0.384,0.349,-0.95,
890229635,-0.949,0.323,-1.15,
890268159,-1.305,0.362,-1.277,
890306684,-1.202,0.183,-1.204,
890345208,-0.793,0.142,-0.952,
890383732,-0.172,0.103,-0.724,
890422257,0.71,0.082,-0.914,
890460780,1.319,-0.248,-0.964,
890499305,1.263,-0.443,-1.098,
890537828,0.545,-0.056,-0.901,
890576353,-0.232,0.221,-0.834,
890614877,-0.835,0.249,-1.08,
890653401,-1.23,0.324,-1.265,
890691925,-1.263,0.487,-1.377,
890730449,-0.809,0.558,-1.246,
890768974,-0.029,0.279,-0.944,
890807498,0.79,-0.767,-0.494,
890846022,1.079,-1.443,-0.228,
890884546,0.637,-1.157,-0.326,
890923070,-0.269,-0.126,-1,
890961594,-1.279,1.4,-2.089,
891000118,-1.453,2.044,-2.192,
891038642,-0.891,1.237,-1.037,
891077167,0.025,-1.081,-0.417,
891115691,0.765,-2.527,-0.417,
891154214,0.553,-1.333,-0.073,
891192739,-0.243,-0.448,-0.566,
891231263,-1.341,1.435,-1.94,
891269787,-1.477,2.3,-2.02,
891308311,-1.059,1.764,-1.026,
891346835,-0.314,-0.278,-0.718,
891385360,0.554,-1.92,-0.604,
891423884,0.825,-1.823,-0.312,
891462408,0.313,-0.912,-0.195,
891500932,-0.797,0.094,-0.916,
891539456,-1.585,2.049,-2.28,
891577980,-1.467,2.099,-1.598,
891616504,-0.881,1.004,-0.794,
891655029,-0.024,-1.209,-0.835,
891693553,0.706,-2.051,-0.578,
891732077,0.569,-1.132,-0.133,
891770601,-0.181,-0.397,-0.47,
891809125,-1.165,1.101,-1.778,
891847649,-1.375,1.698,-2.132,
891886174,-1.073,1.52,-1.092,
891924697,-0.333,-0.006,-0.533,
891963222,0.608,-1.942,-0.641,
892001746,0.768,-1.606,-0.254,
892040270,0.068,-0.636,-0.314,
892078794,-1.038,0.253,-0.968,
892117318,-1.688,1.888,-2.511,
892155842,-1.512,1.519,-1.416,
892194367,-0.814,0.686,-0.426,
892232891,0.284,-1.587,-0.463,
892271415,0.839,-1.774,-0.4,
892309939,0.349,-0.797,-0.337,
892348463,-0.582,-0.229,-0.732,
892386987,-1.399,1.346,-2.036,
892425511,-1.504,1.539,-2.094,
892464036,-1.01,1.034,-0.858,
892502560,-0.27,-0.551,-0.324,
892541084,0.615,-1.947,-0.24,
892579607,0.591,-1.599,-0.229,
892618132,-0.222,-0.278,-0.311,
892656656,-1.046,0.854,-1.459,
892695181,-1.457,1.346,-2.7,
892733704,-1.102,0.98,-1.356,
892772229,-0.352,-0.095,-0.128,
892810752,0.84,-2.129,-0.159,
892849277,0.572,-1.016,-0.235,
892887801,-0.159,-0.225,-0.452,
892926325,-0.873,0.383,-1.496,
892964849,-1.277,1.525,-2.464,
893003374,-0.881,1.003,-1.507,
893041897,-0.137,0.072,-1.066,
893080422,-0.164,-0.135,-0.461,
893118946,0.075,0.001,0.724,
893157470,0.271,-0.332,0.675,
893195994,0.135,-0.313,0.784,
893234518,0.584,-0.794,0.937,
893273042,0.475,-0.979,0.643,
893311567,0.084,-0.563,-0.256,
893350090,-0.096,-1.334,-0.999,
893388614,0.178,-1.352,-0.871,
893427139,0,0.965,-0.783,
893465663,0.204,0.273,-0.249,
893504187,0.082,-1.705,1.22,
893542711,-0.115,-1.954,0.057,
893581235,0.236,-0.992,-0.109,
893619760,0.359,-1.26,-0.465,
893658284,-0.41,-0.881,-0.945,
893696808,-0.453,-2.3,-1.532,
893735332,-0.116,-1.758,-1.471,
893773856,-0.113,1.333,-0.584,
893812380,0.05,-1.127,1.35,
893850904,0.061,-2.007,0.681,
893889428,0.261,-0.873,-1.629,
893927952,-0.156,-0.787,-0.444,
893966476,-0.512,-1.579,-1.625,
894005001,-0.048,-2.814,-1.094,
894043525,-0.215,0.035,-1.364,
894082049,0.064,-0.496,0.597,
894120573,0.371,-1.896,0.446,
894159097,0.318,-0.622,-0.101,
894197621,0.455,-0.679,-0.092,
894236145,0.303,-1.26,0.427,
894274669,0.433,-1.542,0.339,
894313193,0.424,-1.421,-0.563,
894351718,0.409,-0.819,0.122,
894390242,0.479,-0.811,0.216,
894428766,0.362,-0.088,-0.039,
894467290,0.569,-0.065,0.075,
894505814,0.557,-0.093,-0.093,
894544338,0.708,0.201,0.365,
894582862,0.792,-0.29,-0.328,
894621386,0.972,-0.12,0.461,
894659911,1.016,-0.628,0.362,
894698435,0.874,-0.299,0.688,
894736959,0.43,0.1,1.177,
894775483,0.168,0.307,0.9,
894814007,0.162,0.59,0.757,
894852531,0.277,0.772,0.835,
894891055,0.431,0.523,1.094,
894929579,0.406,0.278,1.29,
894968104,0.115,0.776,1.299,
895006628,0.226,0.14,1.19,
895045151,0.518,-0.205,0.497,
895083676,0.788,-0.004,0.454,
895122200,0.428,0.209,0.034,
895160724,0.521,-0.055,-0.238,
895199248,0,0.192,-0.024,
895237772,-0.825,0.328,-0.009,
895276296,-1.214,-0.091,-0.604,
895314821,-1.233,-0.586,-1.083,
895353345,-1.09,-0.783,-1.253,
895391868,-1.244,-0.558,-1.209,
895430393,-1.301,-0.357,-1.134,
895468917,-1.164,-0.489,-1.194,
895507441,-0.979,-0.52,-1.011,
895545965,-0.871,-0.394,-1.102,
895584489,-1.037,-0.336,-0.962,
895623013,-0.695,-0.533,-0.843,
895661537,-0.476,-0.549,-1.197,
895700062,-0.818,-0.585,-1.134,
895738586,-0.972,-0.286,-1.124,
895777110,-1.145,-0.028,-1.091,
895815634,-0.656,0.348,0.451,
895854158,0.285,0.509,1.171,
895892682,0.601,0.429,1.536,
895931206,0.459,0.373,1.67,
895969731,0.213,0.663,1.756,
896008254,0.243,0.393,1.362,
896046779,0.286,0.227,1.253,
896085302,0.333,0.319,1.228,
896123827,0.327,0.257,0.961,
896162351,0.327,0.089,0.549,
896200875,0.183,0.146,0.362,
896239399,0.003,0.096,0.24,
896277923,-0.39,0.167,-0.134,
896316447,-0.458,-0.196,-0.091,
896354971,-0.421,-0.775,-1.005,
896393495,-0.333,-0.751,-2.45,
896432020,-0.177,-1.034,-2.759,
896470544,-0.27,-0.914,-2.761,
896509068,-0.319,-0.807,-1.843,
896547592,-0.072,-0.589,-0.992,
896586116,0.13,-0.434,-0.685,
896624641,0.106,-0.301,-0.207,
896663164,0.109,-0.128,0,
896701689,0.074,-0.183,-0.01,
896740213,-0.19,0.179,0.017,
896778737,0.086,0.122,0.071,
896817261,0.122,0.291,0.22,
896855785,0.527,0.273,1.087,
896894309,0.818,-0.348,1.958,
896932833,0.644,-0.465,2.82,
896971357,0.4,-0.151,2.399,
897009881,0.266,0.037,1.688,
897048406,0.322,-0.044,1.175,
897086929,0.313,0.036,0.814,
897125454,0.19,0.186,0.628,
897163978,-0.022,0.257,0.489,
897202502,-0.125,0.308,0.304,
897241026,-0.246,0.065,-0.068,
897279550,-0.156,0.073,-0.171,
897318074,-0.113,-0.244,-0.114,
897356599,-0.384,-0.473,-0.579,
897395123,-0.405,-0.315,-1.698,
897433647,-0.486,-0.149,-2.348,
897472171,-0.401,0.211,-2.889,
897510695,-0.424,0.564,-2.762,
897549219,-0.309,0.334,-2.002,
897587743,-0.379,0.098,-1.397,
897626268,-0.538,-0.007,-0.746,
897664791,-0.246,-0.198,-0.138,
897703315,-0.139,-0.193,0.063,
897741840,0.07,-0.178,0.027,
897780363,0.296,-0.426,-0.113,
897818888,0.609,-0.138,0.179,
897857412,0.943,-0.751,-0.906,
897895936,1.057,-1.151,-0.81,
897934460,1.013,-1.653,-0.915,
897972984,0.896,-1.592,-0.712,
898011509,0.714,-1.23,-0.472,
898050032,0.432,-0.953,-0.302,
898088557,0.122,-0.492,-0.193,
898127081,-0.204,-0.171,-0.16,
898165605,-0.49,0.307,-0.617,
898204128,-0.771,0.554,-0.444,
898242653,-0.551,0.937,-0.834,
898281177,-0.569,1.107,-0.898,
898319701,-0.457,1.129,-1.062,
898358225,-0.468,1.015,-1.065,
898396749,-0.496,1.158,-1.198,
898435273,-0.719,1.077,-1.091,
898473797,-0.588,0.652,-0.924,
898512322,-0.475,0.207,-0.444,
898550846,-0.15,-0.228,-0.595,
898589370,0.124,-0.228,-0.965,
