@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute F4_MEAN_on_ACC_V numeric
@attribute F5_VAR_on_ACC_X numeric
@attribute F6_VAR_on_ACC_Y numeric
@attribute F7_VAR_on_ACC_Z numeric
@attribute F8_VAR_on_ACC_V numeric
@attribute F9_MIN_on_ACC_X numeric
@attribute F10_MIN_on_ACC_Y numeric
@attribute F11_MIN_on_ACC_Z numeric
@attribute F12_MIN_on_ACC_V numeric
@attribute F13_MAX_on_ACC_X numeric
@attribute F14_MAX_on_ACC_Y numeric
@attribute F15_MAX_on_ACC_Z numeric
@attribute F16_MAX_on_ACC_V numeric
@attribute class {Jaz, Mami, Mirovanje, Sestra, Vati}

@data
-1.0127, 0.0354614, -0.0307617, 1.07422, 0.0820313, 0.0663452, 0.0700684, 0.0908203, -1.73145, -0.664551, -0.592773, 0.562988, -0.435791, 0.673828, 0.845703, 1.77051, Jaz
-1.0127, -0.00616837, -0.0519104, 1.07227, 0.0722656, 0.0756226, 0.0620117, 0.0869141, -1.81348, -0.907715, -0.600586, 0.623047, -0.588867, 0.739746, 0.817871, 2.01758, Jaz
-1.00879, -0.0155563, -0.0316467, 1.04297, 0.0292969, 0.0330811, 0.03125, 0.0224609, -1.49219, -0.413818, -0.401855, 0.538086, -0.517578, 0.361816, 0.427979, 1.53711, Jaz
-0.99707, 0.0838623, -0.122498, 1.04688, 0.0830078, 0.0449829, 0.0302887, 0.0810547, -1.98242, -0.487793, -0.609863, 0.567383, -0.311768, 0.636719, 0.25293, 2.05859, Jaz
-1.04395, 0.0438538, -0.0497131, 1.0918, 0.0771484, 0.0316772, 0.0584106, 0.0703125, -2.0332, -0.395996, -0.584961, 0.426025, -0.179932, 0.427979, 0.527832, 2.04883, Jaz
-0.981445, 0.0475769, 0.0217285, 1.04004, 0.0776367, 0.0489502, 0.0811157, 0.09375, -1.63379, -0.392822, -0.519531, 0.53125, -0.494873, 0.641602, 1.0293, 1.9541, Jaz
-0.955566, 0.0556641, -0.0423584, 1.02832, 0.0864258, 0.0528564, 0.116394, 0.117188, -1.74805, -0.71875, -0.580566, 0.56543, -0.233887, 0.765625, 1.17188, 2.10547, Jaz
-0.992676, 0.0646973, -0.0211639, 1.06934, 0.112305, 0.0508118, 0.113586, 0.120117, -1.69629, -0.825684, -0.681641, 0.530273, -0.112, 0.527832, 1.17969, 2.10352, Jaz
-1, 0.0581665, -0.0343628, 1.07422, 0.119141, 0.0341492, 0.113892, 0.115234, -1.83105, -0.37085, -0.702637, 0.570801, -0.161987, 0.542969, 1.23047, 2.16797, Jaz
-0.992676, 0.0658569, -0.0407715, 1.0459, 0.0888672, 0.0265808, 0.0793457, 0.0957031, -1.61426, -0.358887, -0.59375, 0.592773, -0.25293, 0.480957, 0.917969, 1.83203, Jaz
-1, -0.000244379, -0.0367126, 1.03809, 0.0566406, 0.0297394, 0.062561, 0.0722656, -1.71582, -0.339844, -0.461914, 0.670898, -0.649902, 0.431885, 0.945801, 1.86523, Jaz
-1.02539, -0.0200653, -0.0879517, 1.07227, 0.0693359, 0.0529175, 0.0377808, 0.0693359, -1.95117, -0.696777, -0.538574, 0.574219, -0.432861, 0.534668, 0.82959, 2.02148, Jaz
-1.03711, 0.0337219, -0.0291748, 1.11328, 0.0917969, 0.0621033, 0.0839233, 0.0751953, -1.71777, -0.666992, -0.932617, 0.444824, -0.0749512, 0.599609, 0.893555, 1.78125, Jaz
