@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute F4_MEAN_on_ACC_V numeric
@attribute F5_VAR_on_ACC_X numeric
@attribute F6_VAR_on_ACC_Y numeric
@attribute F7_VAR_on_ACC_Z numeric
@attribute F8_VAR_on_ACC_V numeric
@attribute F9_MIN_on_ACC_X numeric
@attribute F10_MIN_on_ACC_Y numeric
@attribute F11_MIN_on_ACC_Z numeric
@attribute F12_MIN_on_ACC_V numeric
@attribute F13_MAX_on_ACC_X numeric
@attribute F14_MAX_on_ACC_Y numeric
@attribute F15_MAX_on_ACC_Z numeric
@attribute F16_MAX_on_ACC_V numeric
@attribute class {Jaz, Mami, Mirovanje, Sestra, Vati}

@data
-0.886719, 0.10144, 0.0811157, 0.992188, 0.143555, 0.0744019, 0.136353, 0.171875, -1.87695, -0.777832, -0.501953, 0.461426, -0.327881, 0.510742, 0.942871, 1.9043, Jaz
-1.08594, -0.0205383, -0.043457, 1.10352, 0.046875, 0.0193787, 0.0177155, 0.0498047, -1.68555, -0.308838, -0.253906, 0.851074, -0.84082, 0.236938, 0.238892, 1.70117, Jaz
-0.895996, 0.118286, 0.0193329, 0.970703, 0.0908203, 0.0243988, 0.138062, 0.12793, -1.63281, -0.282959, -0.583984, 0.504395, -0.433838, 0.462891, 0.96582, 1.91797, Jaz
-1.01855, -0.0223389, -0.126221, 1.07031, 0.0898438, 0.0490417, 0.0272522, 0.0732422, -1.86328, -0.654785, -0.584961, 0.517578, -0.197998, 0.447998, 0.35083, 1.88672, Jaz
-0.957031, 0.0404053, -0.0421448, 1.00684, 0.0986328, 0.0214844, 0.0770874, 0.105469, -1.66016, -0.321777, -0.633789, 0.5625, -0.540527, 0.351807, 0.549805, 1.69531, Jaz
-0.975586, 0.059845, -0.0344543, 1.07617, 0.0893555, 0.0943604, 0.113831, 0.0976563, -1.56445, -0.873535, -0.636719, 0.473389, -0.202881, 0.705566, 0.836914, 1.68262, Jaz
-1.06934, -0.0358887, -0.140869, 1.10938, 0.078125, 0.0339355, 0.0377197, 0.0791016, -1.79199, -0.450928, -0.600586, 0.602051, -0.581543, 0.399902, 0.323975, 1.83398, Jaz
-0.939453, 0.126709, 0.0552063, 1.04785, 0.198242, 0.0840454, 0.130737, 0.219727, -2.52344, -0.784668, -0.60791, 0.387207, -0.185913, 0.589844, 1.00781, 2.57031, Jaz
-1.09668, -0.012413, -0.118347, 1.13965, 0.0498047, 0.0314941, 0.046814, 0.0458984, -1.69434, -0.623535, -0.690918, 0.831543, -0.827637, 0.268799, 0.339844, 1.7334, Jaz
-0.908203, 0.0586853, 0.0121307, 1.01465, 0.132324, 0.118896, 0.115295, 0.165039, -2.25586, -0.818848, -0.540527, 0.568359, -0.368896, 0.888672, 0.861816, 2.42578, Jaz
-1.08398, -0.0255127, -0.0495605, 1.12109, 0.0488281, 0.0300598, 0.0406189, 0.0419922, -1.6709, -0.390869, -0.451904, 0.876953, -0.776855, 0.327881, 0.339844, 1.69629, Jaz
