#Format version: 1.0
time[us],accX[g],accY[g],accZ[g],
669007420,0.338,-0.067,-0.998,
669045944,0.228,-0.005,-0.988,
669084468,0.145,0.035,-0.985,
669122993,0.004,0.001,-1.011,
669161516,-0.069,0.059,-0.988,
669200041,-0.15,0.044,-0.996,
669238564,-0.216,0.064,-0.965,
669277089,-0.276,0.074,-0.961,
669315613,-0.318,0.063,-0.955,
669354137,-0.369,0.022,-0.938,
669392661,-0.398,0.047,-0.919,
669431185,-0.425,0.067,-0.885,
669469709,-0.414,0.028,-0.884,
669508233,-0.382,0.043,-0.867,
669546757,-0.354,0.051,-0.912,
669585281,-0.308,0.028,-0.988,
669623805,-0.184,0.076,-0.985,
669662329,-0.03,0.097,-0.996,
669700853,0.068,0.147,-0.986,
669739378,0.073,0.122,-1.081,
669777901,0.21,0.152,-0.975,
669816425,0.153,0.243,-0.993,
669854949,0.149,0.306,-1.029,
669893474,0.127,0.355,-0.957,
669931998,0.057,0.464,-0.882,
669970522,-0.004,0.569,-0.865,
670009046,-0.098,0.621,-0.853,
670047570,-0.191,0.702,-0.764,
670086094,-0.3,0.712,-0.764,
670124619,-0.38,0.708,-0.718,
670163142,-0.365,0.621,-0.599,
670201666,-0.415,0.516,-0.704,
670240191,-0.476,0.473,-0.654,
670278715,-0.453,0.382,-0.693,
670317239,-0.478,0.255,-0.861,
670355763,-0.403,0.237,-0.869,
670394287,-0.351,0.204,-0.919,
670432811,-0.278,0.12,-1.034,
670471335,-0.209,0.161,-0.992,
670509859,-0.142,0.136,-0.99,
670548384,0.027,0.064,-1.088,
670586907,0.14,0.001,-1.014,
670625432,0.101,0.004,-0.977,
670663956,0.146,-0.017,-0.985,
670702480,0.27,-0.091,-1.023,
670741004,0.323,-0.132,-0.967,
670779528,0.296,-0.113,-0.949,
670818052,0.227,-0.094,-1.025,
670856576,0.211,-0.085,-0.988,
670895101,0.044,0.013,-1.075,
670933624,0.011,0.089,-1.024,
670972149,-0.094,0.203,-0.962,
671010673,-0.152,0.144,-1,
671049197,-0.172,0.069,-0.966,
671087721,-0.197,0.083,-0.947,
671126245,-0.118,0.023,-0.938,
671164769,-0.094,0.029,-0.963,
671203293,-0.055,0.002,-1.06,
671241817,-0.023,-0.003,-1.179,
671280341,0.07,0.045,-1.207,
671318865,0.098,0.091,-1.136,
671357389,0.122,0.077,-1.054,
671395914,0.093,0.015,-0.986,
671434438,0.09,0.018,-0.88,
671472962,0.079,0.057,-0.793,
671511486,0.045,0.051,-0.755,
671550010,0.072,0.1,-0.726,
671588534,0.055,0.041,-0.844,
671627058,0.04,0.025,-0.972,
671665582,0.004,-0.038,-1.144,
671704106,-0.058,0.015,-1.295,
671742630,-0.079,0.069,-1.392,
671781155,-0.026,0.039,-1.368,
671819679,-0.01,0.037,-1.241,
671858203,-0.01,0.064,-1.079,
671896727,0.005,0.087,-0.912,
671935251,0.017,0.063,-0.809,
671973775,0.039,0.024,-0.76,
672012299,0.069,0.031,-0.726,
672050823,0.032,0.048,-0.773,
672089347,-0.001,0.065,-0.88,
672127871,-0.007,0.12,-1.017,
672166395,-0.013,0.123,-1.141,
672204920,-0.077,0.186,-1.252,
672243444,-0.083,0.198,-1.303,
672281968,-0.07,0.153,-1.269,
672320492,-0.033,0.082,-1.165,
672359016,-0.022,0.09,-1.006,
672397540,-0.024,0.115,-0.862,
672436064,0.005,0.037,-0.801,
672474589,0.02,0.009,-0.76,
672513113,0.01,0.03,-0.785,
672551636,-0.027,0.172,-0.876,
672590161,-0.189,0.307,-1.149,
672628685,-0.169,0.337,-1.218,
672667209,-0.073,0.125,-1.227,
672705733,0.053,-0.057,-1.151,
672744257,0.183,-0.201,-1.022,
672782781,0.222,-0.275,-0.921,
672821306,0.157,-0.206,-0.866,
672859830,0.075,0.065,-0.835,
672898353,-0.079,0.324,-0.983,
672936878,-0.191,0.479,-1.129,
672975402,-0.211,0.597,-1.183,
673013926,-0.116,0.535,-1.081,
673052450,-0.06,0.372,-1.028,
673090974,0.029,0.262,-0.919,
673129499,0.045,0.059,-0.914,
673168022,0.054,-0.256,-0.977,
673206547,0.057,-0.414,-1.007,
