#Format version: 1.0
time[us],accX[g],accY[g],accZ[g],
778764279,-0.547,0.604,0.214,
778802804,-0.138,-0.125,0.443,
778841329,-0.064,-0.772,0.697,
778879854,0.064,-1.151,0.308,
778918380,0.378,-1.622,0.357,
778956905,0.094,-1.885,0.608,
778995430,0.056,-1.287,0.526,
779033956,-0.027,-0.951,0.047,
779072481,-0.173,-1.76,-0.48,
779111006,0.252,-2.402,-0.111,
779149531,-0.604,1.086,0.762,
779188057,-0.197,0.41,-0.806,
779226582,0.33,0.473,-0.053,
779265107,0.472,0.64,-0.008,
779303632,0.108,1.168,0.501,
779342157,-0.395,0.417,0.061,
779380683,-0.514,0.047,-1.698,
779419208,-0.503,1.188,-2.663,
779457733,0.116,1.271,-2.056,
779496258,-0.061,0.208,-1.286,
779534784,0.156,0.039,-1.123,
779573309,-0.774,0.367,-0.167,
779611834,-0.208,-0.085,-0.716,
779650359,-0.971,-0.138,-0.176,
779688884,-0.862,0.304,-0.792,
779727410,-0.661,-0.241,-0.511,
779765935,-0.629,-0.279,-0.107,
779804460,-0.879,0.127,-0.204,
779842985,-1.223,0.159,0.617,
779881510,-0.977,0.132,0.532,
779920035,-1.151,0.141,0.187,
779958561,-1.07,0.3,0.106,
779997086,-1.115,0.162,0.013,
780035611,-1.232,0.085,-0.853,
780074136,-1.218,-0.879,-0.78,
780112662,-0.629,-0.112,-0.443,
780151187,-0.2,0.438,-0.848,
780189712,0.002,-0.018,-0.786,
780228237,0.245,0.343,-0.169,
780266762,1.181,0.48,-0.619,
780305288,0.454,0.47,0.449,
780343813,0.604,-0.033,0.859,
780382339,0.813,-0.055,0.829,
780420864,0.192,0.312,0.924,
780459389,0.546,-0.387,1.139,
780497914,-0.065,-0.041,0.617,
780536439,-0.205,-0.124,0.373,
780574965,-1.124,0.725,0.1,
780613490,-1.045,0.391,0.223,
780652015,-1.071,0.503,0.615,
780690541,-1.176,0.244,1.353,
780729066,-0.879,0.056,0.733,
780767591,-1.21,-0.808,0,
780806116,-0.951,-0.338,-0.036,
780844641,-0.956,-0.288,0.037,
780883167,-0.719,-0.378,-0.47,
780921691,-0.865,-0.154,-0.125,
780960217,-0.681,-0.545,-0.569,
780998742,-0.996,-0.581,-0.581,
781037267,-0.497,-0.099,-0.408,
781075792,-1.24,-0.426,-0.519,
781114318,-1.266,0.04,-0.066,
781152844,-1.914,-0.547,0.354,
781191369,-1.737,0.036,0.65,
781229894,-1.156,-0.182,0.778,
781268419,-0.702,-0.188,1.107,
781306944,-0.693,-0.071,0.442,
781345469,0.123,0.016,0.841,
781383995,-0.28,0.114,-0.017,
781422520,-0.112,-0.286,-0.806,
781461045,-0.011,-0.197,-0.538,
781499571,-1.484,0.661,-1.328,
781538095,-1.529,-0.082,-1.834,
781576621,-1.096,-0.448,-0.293,
781615146,-1.398,-0.019,-0.352,
781653671,-0.878,-0.53,-0.367,
781692196,-0.884,-0.302,-0.371,
781730722,-0.962,-0.267,0.024,
781769247,-1.091,0,0.26,
781807772,-0.911,-0.007,0.648,
781846297,-0.977,0.2,0.571,
781884823,-0.714,0.107,1.048,
781923348,-1.068,-0.076,0.318,
781961873,-0.03,1.014,0.511,
782000399,0.043,0.111,0.555,
782038924,-0.412,0.839,1.105,
782077449,0.07,0.447,0.728,
782115974,0.73,0.523,0.43,
782154499,1.482,0.241,0.718,
782193025,0.767,0.204,0.306,
782231550,1.08,-0.168,0.569,
782270075,1.335,-0.027,0.583,
782308601,-0.471,-0.348,0.919,
782347125,0.752,-0.201,0.802,
782385651,0.738,0.29,0.537,
782424176,1.091,0.431,0.659,
782462701,1.079,-0.113,0.51,
782501226,0.434,-0.303,-0.028,
782539752,-0.095,-0.47,0.27,
782578277,-0.134,0.139,-0.056,
782616803,-0.194,-0.328,-0.557,
782655327,-1.363,-0.699,-0.906,
782693853,-2.495,-0.21,-0.988,
782732378,-2.609,-0.173,-1.003,
